repo,score
Zepalesque/The-Aether-Redux,1252.5
gurkanucar/spring-boot-webrtc-peer2peer,42.5
dyx/tams,80.0
Septicuss/tooltips,210.0
Simon1511/WearableSpoof,180.0
ThomasVitale/spring-boot-multitenancy,427.5
GoogleCloudPlatform/alloydb-java-connector,4735.0
canyie/SettingsFirewall,92.5
MohistMC/Banner,1102.5
unknownkoder/spring-security-login-system,80.0
Shubh2-0/Hibernate-Mapping,30.0
d3lt3x/MarkerAPI,97.5
Mineinjava/quail,1755.0
ionutbalosin/jvm-energy-consumption,110.0
oktadev/auth0-spring-boot-angular-crud-example,110.0
xitiomet/irc-gpt-bot,155.0
mipo256/properties-maven-plugin,365.0
Ando-Mickael/Chess-game_java,30.0
Big-billed-shark/fineely-config,60.0
vudangngoc/janus-java-client,110.0
michelin/avro-xml-mapper,300.0
Oganesson897/GregicaPlusPlus,790.0
devsuperior/java-spring-prep1,60.0
AveryCS/object-oriented-programming-concepts,60.0
META-Tommy/Image-To-Text_Display,30.0
mooziii/my-beloved-icon,190.0
ILikePlayingGames/FancyWarpMenu,300.0
YuukiPS/Grasscutters-Original,150.0
iSEngLab/GAMMA,30.0
jeppe9821/HavanaR39,30.0
eclipse-serializer/serializer,1550.0
jiangnanboy/layout_analysis4j,42.5
