repo,releases,pulls,open_issues,branches,workflows,has_release_workflow,tests
Badbird5907/GHShareXUploader,0,0.0,0,1,0,0,0.0
FinalForEach/Cosmic-Reach-Save-Library,0,1.0,0,1,0,0,0.0
semih-turan/The-Full-Stack-Web-Development-Bootcamp,0,0.0,0,1,0,0,0.0
OWASP/www-project-netryx,0,1.0,0,1,0,0,61.0
weilueluo/tsm4j,0,14.0,0,1,0,0,18.0
frc-862/rhapsody,5,247.0,16,13,2,0,0.0
kp7742/RootOverlay,0,0.0,2,1,0,0,0.0
vsouzx/Events-Driven-Ecommerce,0,0.0,1,1,0,0,0.0
JeevananthamPrabhu/to-do-list-full-stack-java,0,0.0,0,1,0,0,0.0
mytang0/brook,1,9.0,0,7,2,0,15.0
Rapter1990/parkinglot,0,20.0,0,1,1,0,106.0
stephanj/BM25,0,2.0,0,3,0,0,11.0
johnnyb/ntag424-java,0,1.0,7,3,0,0,18.0
sisby-folk/surveyor,102,3.0,22,3,1,0,0.0
mabartos/keycloak-adaptive-authn,0,1.0,13,7,0,0,0.0
erupts/Linq.J,5,7.0,0,2,0,0,30.0
CleanroomMC/Scalar,2,1.0,0,2,1,0,0.0
jhspetersson/packrat,0,0.0,0,1,0,0,51.0
ImKennyYip/flappy-bird-java,0,0.0,0,1,0,0,0.0
nonamecrackers2/simple-clouds,0,7.0,72,2,1,0,0.0
thebuildcraft/RemotePlayerWaypointsForXaero,15,4.0,9,4,0,0,0.0
caolib/book_management_system,1,0.0,0,2,1,0,2.0
boozallen/aissemble,9,279.0,29,18,4,0,22.0
devoxx/DevoxxGenieIDEAPlugin,64,197.0,24,53,1,0,31.0
AndroidIDE-CN/AIDE-Plus,10,1.0,0,7,0,0,0.0
Pulikovskyy/fixitnow,0,0.0,0,1,0,0,0.0
liubingmx/fast-spring-test,6,0.0,0,1,0,0,7.0
jimmyjames/fga-spring-examples,0,11.0,5,2,1,0,14.0
GaoSSR/OnePRO,0,0.0,0,1,0,0,0.0
Randgalt/java-composer,1,15.0,5,1,1,0,377.0
Xyness/SimpleClaimSystem,24,1.0,16,1,1,0,0.0
bitstorm/modern-webdev-wicket,0,0.0,0,1,0,0,0.0
yaaliuzhipeng/fast-mlkit-translate-text,0,0.0,1,1,1,0,0.0
