repo,releases,pulls,open_issues,branches,workflows,has_release_workflow,w_simplicity,tests
SMGCommunity/Whitehole-Neo,8,2.0,22,1,0,0.0,1.0,0.0
Naton1/osrs-pvp-reinforcement-learning,0,0.0,0,1,1,0.0,-1.4,0.0
gayanukabulegoda/Live-Chat-Room,0,0.0,0,1,0,0.0,1.0,0.0
mt1006/mc-ar-mod,1,0.0,5,3,0,0.0,1.0,0.0
Missuo0o/FoodDeliveryBackend,0,0.0,0,1,0,0.0,1.0,0.0
Fernanda-Kipper/desafio-anotaai-backend,0,5.0,0,2,0,0.0,1.0,6.0
vaginessa/NPatch,0,0.0,0,1,2,0.0,-4.2,0.0
codebaorg/redis-keeper,4,1.0,1,4,0,0.0,1.0,10.0
Katana-Official/XYNXposed,0,0.0,1,1,1,0.0,-0.65,0.0
wisp-forest/accessories,30,15.0,20,5,0,0.0,1.0,0.0
jithrew/PantryMate,0,0.0,0,1,0,0.0,1.0,0.0
N1nn1/dye_depot,0,10.0,39,2,1,0.0,-1.25,0.0
Anof-cyber/AlphaScan,0,0.0,0,1,2,0.0,-1.7,0.0
microcks/microcks-testcontainers-java-spring-demo,0,12.0,0,6,2,0.0,-1.2,0.0
maciej-MKan/chess,0,95.0,2,3,2,0.0,-2.45,16.0
wudgaby/wudgaby-platform,0,0.0,0,1,0,0.0,1.0,18.0
jadonharsh109/IaC-Master-Actions,0,71.0,0,1,3,0.0,-8.0,10.0
W01fh4cker/MemshellKit,0,0.0,0,1,0,0.0,1.0,0.0
oviva-ag/ehealthid-relying-party,24,72.0,3,48,5,1.0,-8.2,215.0
mitre-public/open-aria,1,38.0,11,4,1,0.0,-0.65,466.0
kousen/springaiexamples,0,0.0,1,1,0,0.0,1.0,25.0
qos-ch/logback-tyler,0,0.0,1,1,0,0.0,1.0,28.0
NodeMedia/react-native-nodemediaclient,0,1.0,16,1,0,0.0,1.0,0.0
nipafx/modern-java-demo,0,0.0,0,1,0,0.0,1.0,0.0
VovaStelmashchuk/nest2d,2,3.0,1,3,2,1.0,-3.05,0.0
cedricp/ecutweaker,6,8.0,0,1,1,0.0,-1.4,7.0
seregamorph/spring-test-smart-context,8,14.0,0,4,0,0.0,1.0,81.0
vishalmysore/Tools4AI,0,20.0,0,11,3,0.0,-4.75,99.0
manusa/helm-java,15,70.0,8,1,3,1.0,-5.05,127.0
